candidate,density_ratio,shift_cells,current_rate,history_rate,history_minus_current_rate,ke,linf
baseline_velocity_uccd6_imex,833.3333333333334,0.25,-2.8278027662930275e-07,0.00758871659752094,0.00758899937779757,104.29166666666666,3.1567197300060603
current_only_uccd6,833.3333333333334,0.25,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.25,-3.193609978945716e-17,0.007578637530554664,0.007578637530554696,104.29166666666666,3.146473359615835
current_only_conservative_velocity,833.3333333333334,0.25,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.25,-1.2774439915782865e-17,0.007510718725645649,0.007510718725645662,104.29166666666666,1834.3951023294774
current_only_momentum,833.3333333333334,0.25,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
baseline_velocity_uccd6_imex,833.3333333333334,0.5,-2.8278027662930275e-07,0.015254288210109273,0.015254570990385902,104.29166666666666,3.201956920791828
current_only_uccd6,833.3333333333334,0.5,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.5,-3.193609978945716e-17,0.015233352416167615,0.015233352416167646,104.29166666666666,3.1910319157065383
current_only_conservative_velocity,833.3333333333334,0.5,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.5,-1.2774439915782865e-17,0.015003343472019972,0.015003343472019984,104.29166666666666,1914.8778920835625
current_only_momentum,833.3333333333334,0.5,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
baseline_velocity_uccd6_imex,833.3333333333334,1.0,-2.8278027662930275e-07,0.030519832418148006,0.030520115198424635,104.29166666666666,3.5834641949976898
current_only_uccd6,833.3333333333334,1.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,1.0,-3.193609978945716e-17,0.030477093985218886,0.030477093985218917,104.29166666666666,3.5738889728627248
current_only_conservative_velocity,833.3333333333334,1.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,1.0,-1.2774439915782865e-17,0.029862196544742668,0.029862196544742682,104.29166666666666,2144.499377203967
current_only_momentum,833.3333333333334,1.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
